symptoms,disease
lower respiratory tract infection,Pneumonia
alveolar fluid accumulation cough,Pneumonia
bacterial pneumonia chest discomfort,Pneumonia
pleuritic chest pain productive cough,Pneumonia
lung inflammation fever sputum,Pneumonia
crackles on auscultation chest infection,Pneumonia
community acquired pneumonia symptoms,Pneumonia
lobar pneumonia high fever,Pneumonia
bronchopneumonia productive cough,Pneumonia
pulmonary infection dyspnea,Pneumonia
fever chills lung consolidation,Pneumonia
shortness of breath productive sputum,Pneumonia
pneumonic infiltration chest xray,Pneumonia
respiratory infection chest crackles,Pneumonia
bacterial lung infection fever,Pneumonia
severe cough green sputum,Pneumonia
alveolar infection breathing difficulty,Pneumonia
pneumonia with pleural pain,Pneumonia
lung consolidation fever cough,Pneumonia
acute lower respiratory infection,Pneumonia
productive cough chest tightness,Pneumonia
infected alveoli dyspnea,Pneumonia
pneumonia inflammation lungs,Pneumonia
fever with productive sputum,Pneumonia
crackling sounds lung exam,Pneumonia
pulmonary consolidation symptoms,Pneumonia
dyspnea lung infection,Pneumonia
bacterial chest infection sputum,Pneumonia
pleuritic pain lung inflammation,Pneumonia
pneumonic chest infiltrates,Pneumonia
productive sputum respiratory infection,Pneumonia
lung opacity xray finding,Pneumonia
fever cough alveolar infection,Pneumonia
pneumonia dyspnea crackles,Pneumonia
infected lung tissue inflammation,Pneumonia
high temperature productive cough,Pneumonia
alveolar inflammation chest pain,Pneumonia
bacterial pulmonary infection,Pneumonia
lung crackles fever,Pneumonia
respiratory distress pneumonia,Pneumonia
chest xray opacity consolidation,Pneumonia
pneumonia pleural irritation,Pneumonia
lung infection purulent sputum,Pneumonia
dyspnea fever lung consolidation,Pneumonia
productive cough bacterial infection,Pneumonia
lower lobe pneumonia symptoms,Pneumonia
crackles fever sputum,Pneumonia
pulmonary infection chest pain,Pneumonia
lobar consolidation cough,Pneumonia
infective lung disease symptoms,Pneumonia
respiratory infection purulent sputum,Pneumonia
alveolar consolidation dyspnea,Pneumonia
pneumonic inflammation chest tightness,Pneumonia
fever sputum lung infection,Pneumonia

bronchospasm wheezing airway constriction,Asthma
reversible airway obstruction dyspnea,Asthma
episodic wheeze chest tightness,Asthma
allergic asthma bronchial inflammation,Asthma
shortness of breath wheeze attack,Asthma
bronchial hyperresponsiveness symptoms,Asthma
asthmatic episode triggered by dust,Asthma
airway narrowing expiratory wheeze,Asthma
chest tightness bronchospasm,Asthma
exercise induced asthma dyspnea,Asthma
nighttime wheezing bronchial irritation,Asthma
bronchial constriction breathing difficulty,Asthma
asthma flare airway inflammation,Asthma
recurrent wheezing short breath,Asthma
bronchial asthma chronic symptoms,Asthma
expiratory airflow limitation,Asthma
asthma triggered by allergens,Asthma
wheeze chest constriction episode,Asthma
airway hyperreactivity dyspnea,Asthma
asthmatic cough wheeze,Asthma
bronchospastic disorder symptoms,Asthma
tight chest expiratory wheeze,Asthma
asthma exacerbation dyspnea,Asthma
allergic bronchitis asthma symptoms,Asthma
airway inflammation wheezing,Asthma
bronchial obstruction reversible,Asthma
asthma symptoms triggered by pollen,Asthma
episodic dyspnea wheezing,Asthma
bronchoconstriction short breath,Asthma
asthma airway narrowing,Asthma
chronic wheeze bronchial asthma,Asthma
airflow obstruction reversible asthma,Asthma
asthma induced chest tightness,Asthma
bronchial irritation wheeze,Asthma
allergy induced asthma attack,Asthma
expiratory wheeze airway narrowing,Asthma
asthma flare dust exposure,Asthma
bronchial spasm dyspnea,Asthma
reversible bronchial obstruction,Asthma
asthmatic breathing difficulty episode,Asthma
tight chest wheeze attack,Asthma
airway constriction dyspnea,Asthma
asthma triggered by cold air,Asthma
bronchial hyperreactive state,Asthma
asthma attack wheeze dyspnea,Asthma
airway narrowing inflammation,Asthma
bronchospasm chest tightness,Asthma
episodic asthma flare,Asthma
allergic airway inflammation symptoms,Asthma
expiratory airflow limitation wheeze,Asthma
asthma exacerbation chest tightness,Asthma
bronchial constriction attack,Asthma
asthmatic dyspnea wheezing,Asthma
airway reactivity short breath,Asthma
asthma chronic inflammatory airway,Asthma
bronchospastic episode symptoms,Asthma
allergen triggered wheezing,Asthma
reversible airway narrowing dyspnea,Asthma
asthma bronchial inflammation attack,Asthma

low hemoglobin fatigue pallor,Anemia
iron deficiency reduced rbc count,Anemia
anemic patient weakness dizziness,Anemia
decreased hematocrit fatigue,Anemia
pale conjunctiva low hemoglobin,Anemia
microcytic anemia iron deficiency,Anemia
reduced oxygen carrying capacity fatigue,Anemia
chronic anemia weakness,Anemia
low serum ferritin tiredness,Anemia
hemoglobin below normal dizziness,Anemia
anemia related pallor fatigue,Anemia
iron deficiency anemia symptoms,Anemia
macrocytic anemia low b12,Anemia
low red blood cell count fatigue,Anemia
anemia induced weakness dizziness,Anemia
hematologic deficiency fatigue pallor,Anemia
reduced hemoglobin concentration,Anemia
iron depletion symptoms weakness,Anemia
anemic fatigue pale skin,Anemia
low oxygen transport fatigue,Anemia
hematocrit reduction dizziness,Anemia
iron deficiency tiredness pallor,Anemia
anemia chronic blood loss symptoms,Anemia
rbc deficiency weakness fatigue,Anemia
hypochromic anemia pallor,Anemia
low hemoglobin lightheadedness,Anemia
iron deficiency hemoglobin drop,Anemia
anemia oxygen deficit fatigue,Anemia
reduced erythrocyte count symptoms,Anemia
hematology disorder low hemoglobin,Anemia
iron deficiency chronic fatigue,Anemia
anemic pallor dizziness,Anemia
low rbc concentration weakness,Anemia
reduced hematologic values fatigue,Anemia
hemoglobin deficiency weakness,Anemia
iron depletion anemia fatigue,Anemia
chronic anemia pale appearance,Anemia
low blood hemoglobin fatigue,Anemia
anemia weakness low iron,Anemia
oxygen transport deficiency dizziness,Anemia
iron deficiency reduced stamina,Anemia
anemic state fatigue pallor,Anemia
low erythrocyte level symptoms,Anemia
reduced hemoglobin oxygen fatigue,Anemia
iron deficiency chronic weakness,Anemia
anemia hematologic imbalance,Anemia
low ferritin fatigue pallor,Anemia
anemic dizziness weakness,Anemia
hematologic anemia disorder symptoms,Anemia
iron deficiency low rbc,Anemia
oxygen carrying deficit fatigue,Anemia
anemia low hematocrit symptoms,Anemia
reduced hemoglobin tiredness,Anemia
iron deficiency pallor weakness,Anemia
anemia induced fatigue dizziness,Anemia
erythrocyte deficiency symptoms,Anemia
hematologic fatigue pale skin,Anemia
low iron hemoglobin reduction,Anemia
chronic hemoglobin deficiency fatigue,Anemia

low grade fever fatigue body ache,Viral Fever
mild fever sore throat weakness,Viral Fever
viral infection mild temperature,Viral Fever
fever with fatigue cough,Viral Fever
low temperature viral illness,Viral Fever
body ache mild fever,Viral Fever
viral syndrome fatigue headache,Viral Fever
low grade temperature sore throat,Viral Fever
viral fever mild chills,Viral Fever
fever fatigue nasal congestion,Viral Fever
acute viral fever weakness,Viral Fever
mild fever joint discomfort,Viral Fever
viral febrile illness symptoms,Viral Fever
low grade fever malaise,Viral Fever
viral fever sore throat fatigue,Viral Fever
fever with mild cough weakness,Viral Fever
viral infection body ache fatigue,Viral Fever
mild febrile illness headache,Viral Fever
viral fever general weakness,Viral Fever
low temperature fatigue malaise,Viral Fever
viral syndrome mild fever,Viral Fever
acute viral illness fatigue,Viral Fever
fever throat irritation weakness,Viral Fever
mild fever chills viral,Viral Fever
viral fever headache body ache,Viral Fever
low grade temperature weakness,Viral Fever
viral febrile condition fatigue,Viral Fever
mild fever respiratory symptoms,Viral Fever
viral fever light headache,Viral Fever
low fever fatigue weakness,Viral Fever
viral illness mild temperature,Viral Fever
fever fatigue viral infection,Viral Fever
mild body ache fever viral,Viral Fever
viral syndrome chills fatigue,Viral Fever
low temperature viral symptoms,Viral Fever
viral fever throat discomfort,Viral Fever
mild febrile viral illness,Viral Fever
acute viral temperature rise,Viral Fever
viral fever fatigue chills,Viral Fever
low grade fever mild headache,Viral Fever
viral infection febrile symptoms,Viral Fever
fever malaise viral origin,Viral Fever
mild viral fever weakness,Viral Fever
viral syndrome headache fatigue,Viral Fever
fever cough viral illness,Viral Fever
low temperature malaise,Viral Fever
viral febrile disorder fatigue,Viral Fever
mild viral infection fever,Viral Fever
fever fatigue viral syndrome,Viral Fever
acute viral fever symptoms,Viral Fever
low grade viral temperature,Viral Fever
viral illness fatigue headache,Viral Fever
mild fever sore throat viral,Viral Fever
viral febrile episode fatigue,Viral Fever
fever weakness viral infection,Viral Fever
mild temperature rise viral,Viral Fever
viral fever systemic weakness,Viral Fever
low grade febrile viral illness,Viral Fever

high fever severe myalgia retro orbital pain,Dengue Fever
sudden high temperature platelet drop,Dengue Fever
dengue infection thrombocytopenia rash,Dengue Fever
intense joint pain skin rash fever,Dengue Fever
retro orbital headache high fever,Dengue Fever
platelet count decrease bleeding gums,Dengue Fever
dengue viral fever severe body pain,Dengue Fever
hemorrhagic rash thrombocytopenia,Dengue Fever
high grade fever severe muscle pain,Dengue Fever
dengue fever with petechiae,Dengue Fever
platelet reduction high fever,Dengue Fever
severe myalgia dengue infection,Dengue Fever
retro orbital pain thrombocytopenia,Dengue Fever
dengue hemorrhagic symptoms fever,Dengue Fever
high fever rash joint pain,Dengue Fever
low platelet count severe fever,Dengue Fever
dengue viral infection bleeding tendency,Dengue Fever
intense headache retro orbital pain,Dengue Fever
platelet drop rash high temperature,Dengue Fever
dengue fever thrombocytopenia fatigue,Dengue Fever
acute dengue infection symptoms,Dengue Fever
high grade fever severe arthralgia,Dengue Fever
skin rash platelet reduction,Dengue Fever
dengue hemorrhagic fever signs,Dengue Fever
muscle pain platelet drop fever,Dengue Fever
retro orbital headache thrombocytopenia,Dengue Fever
high fever intense myalgia,Dengue Fever
dengue infection rash petechiae,Dengue Fever
severe dengue joint pain,Dengue Fever
platelet deficiency high fever,Dengue Fever
hemorrhagic dengue symptoms,Dengue Fever
dengue fever severe weakness,Dengue Fever
platelet drop bleeding manifestation,Dengue Fever
retro orbital pain high grade fever,Dengue Fever
dengue viral illness rash,Dengue Fever
thrombocytopenia severe myalgia,Dengue Fever
high temperature rash platelet drop,Dengue Fever
dengue infection hemorrhagic signs,Dengue Fever
joint pain rash severe fever,Dengue Fever
platelet decrease fatigue fever,Dengue Fever
dengue febrile illness thrombocytopenia,Dengue Fever
retro orbital pain muscle ache,Dengue Fever
acute dengue fever symptoms,Dengue Fever
high grade temperature rash,Dengue Fever
platelet reduction bleeding gums,Dengue Fever
severe body ache dengue infection,Dengue Fever
rash petechiae high fever,Dengue Fever
dengue virus infection symptoms,Dengue Fever
intense fever thrombocytopenia,Dengue Fever
severe arthralgia platelet drop,Dengue Fever
dengue febrile condition rash,Dengue Fever
high fever hemorrhagic tendency,Dengue Fever
muscle pain retro orbital headache,Dengue Fever
platelet drop severe fatigue,Dengue Fever
acute dengue viral fever,Dengue Fever
rash severe myalgia fever,Dengue Fever
dengue infection platelet reduction,Dengue Fever
high grade dengue symptoms,Dengue Fever

high fever severe myalgia retro orbital pain,Dengue Fever
sudden high temperature platelet drop,Dengue Fever
dengue infection thrombocytopenia rash,Dengue Fever
intense joint pain skin rash fever,Dengue Fever
retro orbital headache high fever,Dengue Fever
platelet count decrease bleeding gums,Dengue Fever
dengue viral fever severe body pain,Dengue Fever
hemorrhagic rash thrombocytopenia,Dengue Fever
high grade fever severe muscle pain,Dengue Fever
dengue fever with petechiae,Dengue Fever
platelet reduction high fever,Dengue Fever
severe myalgia dengue infection,Dengue Fever
retro orbital pain thrombocytopenia,Dengue Fever
dengue hemorrhagic symptoms fever,Dengue Fever
high fever rash joint pain,Dengue Fever
low platelet count severe fever,Dengue Fever
dengue viral infection bleeding tendency,Dengue Fever
intense headache retro orbital pain,Dengue Fever
platelet drop rash high temperature,Dengue Fever
dengue fever thrombocytopenia fatigue,Dengue Fever
acute dengue infection symptoms,Dengue Fever
high grade fever severe arthralgia,Dengue Fever
skin rash platelet reduction,Dengue Fever
dengue hemorrhagic fever signs,Dengue Fever
muscle pain platelet drop fever,Dengue Fever
retro orbital headache thrombocytopenia,Dengue Fever
high fever intense myalgia,Dengue Fever
dengue infection rash petechiae,Dengue Fever
severe dengue joint pain,Dengue Fever
platelet deficiency high fever,Dengue Fever
hemorrhagic dengue symptoms,Dengue Fever
dengue fever severe weakness,Dengue Fever
platelet drop bleeding manifestation,Dengue Fever
retro orbital pain high grade fever,Dengue Fever
dengue viral illness rash,Dengue Fever
thrombocytopenia severe myalgia,Dengue Fever
high temperature rash platelet drop,Dengue Fever
dengue infection hemorrhagic signs,Dengue Fever
joint pain rash severe fever,Dengue Fever
platelet decrease fatigue fever,Dengue Fever
dengue febrile illness thrombocytopenia,Dengue Fever
retro orbital pain muscle ache,Dengue Fever
acute dengue fever symptoms,Dengue Fever
high grade temperature rash,Dengue Fever
platelet reduction bleeding gums,Dengue Fever
severe body ache dengue infection,Dengue Fever
rash petechiae high fever,Dengue Fever
dengue virus infection symptoms,Dengue Fever
intense fever thrombocytopenia,Dengue Fever
severe arthralgia platelet drop,Dengue Fever
dengue febrile condition rash,Dengue Fever
high fever hemorrhagic tendency,Dengue Fever
muscle pain retro orbital headache,Dengue Fever
platelet drop severe fatigue,Dengue Fever
acute dengue viral fever,Dengue Fever
rash severe myalgia fever,Dengue Fever
dengue infection platelet reduction,Dengue Fever
high grade dengue symptoms,Dengue Fever

runny nose sneezing mild cough,Common Cold
nasal congestion watery eyes,Common Cold
mild sore throat sneezing,Common Cold
low grade fever runny nose,Common Cold
cold symptoms nasal discharge,Common Cold
mild cough blocked nose,Common Cold
